0,0,118,0,84,0
0,0,117,0,85,0
0,0,119,0,86,0
0,0,118,0,86,0
0,0,118,0,84,0
0,0,118,0,84,0
0,0,118,0,83,0
Thu Jan  1 01:00:02 1970

Nose is online
0,0,13,0,44,152
0,0,15,0,55,158
0,0,17,0,68,167
0,0,21,0,83,179
0,0,24,0,101,189
0,0,18,0,99,181
0,0,7,0,98,172
0,0,36,0,160,231
0,0,40,0,183,249
0,0,45,0,208,267
0,0,47,0,236,286
0,0,50,0,266,312
0,0,54,0,297,335
0,0,59,0,330,362
0,0,63,0,366,391
0,0,66,0,400,426
0,0,72,0,442,457
0,0,77,0,483,487
0,0,27,0,464,454
0,0,86,0,578,551
0,0,92,0,626,582
0,0,98,0,677,610
0,0,105,0,730,638
0,0,111,0,786,665
0,0,73,0,788,631
0,0,125,0,903,708
0,0,103,1,925,688
0,0,109,5,985,699
4,0,145,18,1088,747
13,0,154,27,1150,754
17,0,163,35,1211,759
25,0,173,44,1268,759
33,0,179,50,1328,758
41,0,190,58,1384,754
48,0,199,65,1436,751
55,0,208,75,1488,746
63,0,217,80,1533,740
70,0,228,90,1585,735
78,0,239,99,1625,731
83,0,249,109,1664,727
92,0,260,116,1701,723
100,0,271,126,1733,717
110,0,281,136,1764,714
115,0,293,143,1790,710
124,0,304,153,1814,706
113,0,295,143,1811,679
99,0,284,131,1800,652
147,3,336,180,1879,698
156,7,347,191,1898,696
164,11,359,199,1912,692
174,15,369,208,1928,690
180,16,381,216,1939,687
190,21,392,226,1953,684
197,25,401,236,1965,680
206,29,414,242,1972,676
213,33,426,252,1982,673
222,37,434,260,1990,670
232,43,447,269,1998,667
240,47,458,275,2002,666
247,48,466,283,2006,661
256,52,478,291,2011,657
265,58,491,299,2016,654
271,61,498,303,2016,648
277,64,510,310,2020,645
286,67,526,317,2021,639
293,71,534,321,2022,635
269,46,510,297,1977,596
275,49,521,301,1977,591
312,80,564,336,2021,619
319,83,575,340,2020,614
323,87,583,344,2016,606
331,92,592,349,2015,602
335,94,601,353,2011,596
339,97,610,355,2008,589
345,102,621,359,2005,584
350,104,627,362,2000,576
355,108,637,365,1997,570
360,111,645,366,1994,566
365,112,654,367,1987,558
368,116,661,369,1982,551
315,64,608,314,1895,480
375,122,679,371,1971,538
380,126,687,373,1966,532
382,128,693,373,1960,524
385,131,702,373,1953,516
388,133,710,374,1945,509
383,128,710,365,1928,494
342,89,668,323,1862,440
386,132,721,363,1913,477
398,143,740,373,1919,478
400,145,749,372,1913,473
400,146,753,371,1904,465
401,149,761,370,1898,457
403,152,769,369,1889,450
404,154,775,368,1880,442
406,157,783,368,1873,436
406,159,788,367,1867,428
407,161,796,366,1859,419
408,163,803,365,1851,412
394,152,794,348,1825,387
409,167,816,361,1837,392
409,169,821,358,1828,383
409,171,828,355,1819,377
409,173,835,354,1811,370
409,174,842,351,1805,361
408,175,847,350,1795,354
409,176,852,348,1789,347
381,151,826,317,1741,310
350,124,799,285,1694,273
407,181,873,341,1768,327
405,181,878,337,1757,317
404,184,882,336,1748,313
403,185,888,334,1741,305
402,186,894,332,1733,297
401,187,899,330,1726,290
400,188,905,326,1717,283
340,132,843,267,1632,217
398,190,913,321,1703,270
397,191,918,319,1694,263
397,192,925,318,1688,257
394,193,930,315,1680,251
392,193,935,312,1674,245
391,195,941,310,1668,239
389,196,944,307,1659,232
